2405 Nw Market St,Aid Response,04/05/2016 01:18:00 AM +0000,47.668679,-122.387628,"(47.668679, -122.387628)",F160037875
2301 S Jackson St,Aid Response,04/05/2016 01:20:00 AM +0000,47.599281,-122.302222,"(47.599281, -122.302222)",F160037878
Rainier Av S / S Henderson St,Aid Response,04/05/2016 02:24:00 AM +0000,47.523307,-122.269986,"(47.523307, -122.269986)",F160037894
600 1st Av N,Aid Response,04/05/2016 04:25:00 AM +0000,47.624578,-122.355404,"(47.624578, -122.355404)",F160037929
28th Av Nw / Nw Market St,Aid Response,04/05/2016 07:02:00 AM +0000,47.668655,-122.392858,"(47.668655, -122.392858)",F160037966
7th Av S / Airport Way S,Aid Response,04/05/2016 09:00:00 AM +0000,47.59296,-122.323236,"(47.59296, -122.323236)",F160037982
6188 4th Av S,Trans to AMR,04/05/2016 09:20:00 AM +0000,47.545614,-122.329588,"(47.545614, -122.329588)",F160037987
26 Harrison St,Aid Response,04/07/2016 07:55:00 PM +0000,47.622107,-122.356403,"(47.622107, -122.356403)",F160039000
Nw Market St / 24th Av Nw,MVI - Motor Vehicle Incident,04/07/2016 07:56:00 PM +0000,47.668679,-122.387576,"(47.668679, -122.387576)",F160039002
517 3rd Av,Aid Response,04/07/2016 07:59:00 PM +0000,47.602172,-122.330863,"(47.602172, -122.330863)",F160039003
26 Harrison St,Aid Response,04/07/2016 08:44:00 PM +0000,47.622107,-122.356403,"(47.622107, -122.356403)",F160039022
2201 4th Av S,Aid Response,04/07/2016 08:58:00 PM +0000,47.583966,-122.329054,"(47.583966, -122.329054)",F160039036
1930 Post Al,Aid Response,04/07/2016 11:50:00 PM +0000,47.610193,-122.342138,"(47.610193, -122.342138)",F160039095
100 Melrose Av E,Aid Response,04/08/2016 12:15:00 AM +0000,47.618497,-122.327854,"(47.618497, -122.327854)",F160039106
5th Av S / S Royal Brougham Way,Aid Response,04/03/2016 11:43:00 AM +0000,47.592394,-122.327395,"(47.592394, -122.327395)",F160037248
11501 Stone Av N,Activated CO Detector,04/03/2016 11:43:00 AM +0000,47.712312,-122.342124,"(47.712312, -122.342124)",F160037249
2106 2nd Av N,Medic Response,04/05/2016 01:50:00 PM +0000,47.637456,-122.353163,"(47.637456, -122.353163)",F160038026
5615 West Marginal Way Sw,MVI - Motor Vehicle Incident,04/05/2016 02:31:00 PM +0000,47.551781,-122.346251,"(47.551781, -122.346251)",F160038038
5407 42nd Av S,Medic Response,04/05/2016 02:53:00 PM +0000,47.553357,-122.280754,"(47.553357, -122.280754)",F160038041
4th Av / Pike St,Rubbish Fire,04/05/2016 08:01:00 PM +0000,47.610214,-122.336683,"(47.610214, -122.336683)",F160038144
747 N 135th St,Aid Response,04/05/2016 08:24:00 PM +0000,47.726864,-122.348012,"(47.726864, -122.348012)",F160038160
23rd Av E / E Madison St,Aid Response,04/05/2016 09:29:00 PM +0000,47.619171,-122.302547,"(47.619171, -122.302547)",F160038193
3642 33rd Av S,MVI - Motor Vehicle Incident,04/05/2016 11:17:00 PM +0000,47.571233,-122.291003,"(47.571233, -122.291003)",F160038258
